,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Ilios,41.85470261513935,12.478427626372302,Greek Restaurant
1,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Alice Pizza Al Taglio,41.855680666832626,12.479655479840781,Pizza Place
2,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Desideri Gelateria e Café,41.85627448868999,12.47864716916551,Café
3,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Bar San Paolo,41.856290469509474,12.478663134122456,Café
4,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Istanbul Kebab,41.856701814596,12.47901399114194,Kebab Restaurant
5,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Gelateria Danielgelo,41.85566731958185,12.479735823834805,Ice Cream Shop
6,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Il Fornaio Leandro,41.8557683796196,12.47973679093066,Breakfast Spot
7,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Buskers Pub,41.85213459425579,12.479969381408162,Pub
8,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Miami 3,41.85189169549806,12.478228430844888,Ice Cream Shop
9,Rimessa Atac San Paolo,41.855538200000005,12.48137518,La Muffineria,41.853127497462445,12.476754017218546,Cupcake Shop
10,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Osteria I Maccheroncini,41.85456070931858,12.48456359180618,Trattoria/Osteria
11,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Bleid cafè,41.85687867231559,12.47870257521072,Pub
12,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Burro & Sugo,41.85430940658202,12.48096073278016,Italian Restaurant
13,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Casa Imperiale,41.85690524456,12.480720926450669,Asian Restaurant
14,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Matrioska,41.85504921923682,12.481068234143732,Russian Restaurant
15,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Elettroforno Frontoni,41.85335159301758,12.477033615112305,Bakery
16,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Conad,41.8541570753,12.4869206362,Supermarket
17,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Loste Ria,41.851565971700936,12.478926039489613,Diner
18,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Il Chiringuito,41.85665011301927,12.47703765636535,Cocktail Bar
19,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Trecca Bistrot,41.85360493719115,12.486539092586456,Bistro
20,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Oly Hotel Rome,41.851764386384325,12.48252944772613,Hotel
21,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Fulmini E Saette,41.85510150215982,12.478464488962809,Bistro
22,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Super Gelo,41.856433078852795,12.47869966350187,Ice Cream Shop
23,Rimessa Atac San Paolo,41.855538200000005,12.48137518,OVS,41.85598539871763,12.479791551650926,Clothing Store
24,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Heng Li,41.85613172356856,12.479902196967032,Chinese Restaurant
25,Rimessa Atac San Paolo,41.855538200000005,12.48137518,OVS,41.85640035868684,12.479887675696773,Clothing Store
26,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Il Bello del Caffé,41.853281651092324,12.479120552504906,Café
27,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Conad,41.853643619,12.4774917834,Supermarket
28,Rimessa Atac San Paolo,41.855538200000005,12.48137518,McDonald's,41.857177073537905,12.477628511785689,Fast Food Restaurant
29,Rimessa Atac San Paolo,41.855538200000005,12.48137518,Al Peperoncino,41.853575062734656,12.476858528836045,Italian Restaurant
30,Ex Stazione Trastevere,41.88088054,12.46694269,Trilussa Palace Congress & Spa,41.879947183147024,12.466595205095723,Hotel
31,Ex Stazione Trastevere,41.88088054,12.46694269,EasyFitclub Trastevere,41.87894130884252,12.466057884845819,Gym
32,Ex Stazione Trastevere,41.88088054,12.46694269,seu pizza illuminati,41.87952283489116,12.46798038482666,Pizza Place
33,Ex Stazione Trastevere,41.88088054,12.46694269,Birrifugio,41.87766503198455,12.46600231034182,Pub
34,Ex Stazione Trastevere,41.88088054,12.46694269,B&B Trastevere 94,41.883237219845654,12.469010353088379,Bed & Breakfast
35,Ex Stazione Trastevere,41.88088054,12.46694269,Il Cortile,41.88013793253512,12.462185810818719,Italian Restaurant
36,Ex Stazione Trastevere,41.88088054,12.46694269,La Gourmandise,41.87886839999999,12.4622387,Ice Cream Shop
37,Ex Stazione Trastevere,41.88088054,12.46694269,Sofio Bar,41.87688109346275,12.467966680409637,Café
38,Ex Stazione Trastevere,41.88088054,12.46694269,Osteria Fernanda,41.876534546766095,12.467755902637167,Italian Restaurant
39,Ex Stazione Trastevere,41.88088054,12.46694269,Villa Sciarra,41.88418814340391,12.463834228326569,Park
40,Ex Stazione Trastevere,41.88088054,12.46694269,Chopsticks Restaurant,41.878998933317824,12.46879940468427,Buffet
41,Ex Stazione Trastevere,41.88088054,12.46694269,Nievo al 51,41.878339144219176,12.46749454274032,Café
42,Ex Stazione Trastevere,41.88088054,12.46694269,Il Focolare,41.88273382786741,12.46173680978834,Italian Restaurant
43,Ex Stazione Trastevere,41.88088054,12.46694269,La Torricella,41.877996961751954,12.471448382342528,Italian Restaurant
44,Ex Stazione Trastevere,41.88088054,12.46694269,Lochness Pub,41.8782480322503,12.468263397190487,Pub
45,Ex Stazione Trastevere,41.88088054,12.46694269,Roadhouse Restaurant,41.87971952664142,12.46663280771442,Steakhouse
46,Ex Stazione Trastevere,41.88088054,12.46694269,Brasserie 4:20,41.87883545763846,12.468713714704068,Pub
47,Ex Stazione Trastevere,41.88088054,12.46694269,Smoke Ring,41.87876336940208,12.468642861438818,BBQ Joint
48,Ex Stazione Trastevere,41.88088054,12.46694269,Hostel Trustever,41.87856411009421,12.466319663468832,Hostel
49,Ex Stazione Trastevere,41.88088054,12.46694269,Piazza Ippolito Nievo,41.880189699722045,12.46702551396679,Plaza
50,Ex Stazione Trastevere,41.88088054,12.46694269,China Garden,41.88026824280475,12.466634163085432,Chinese Restaurant
51,Ex Stazione Trastevere,41.88088054,12.46694269,Unieuro,41.87815,12.466065,Electronics Store
52,Ex Stazione Trastevere,41.88088054,12.46694269,Osteria Mangiafuoco KM0,41.88033,12.4632,Diner
53,Ex Stazione Trastevere,41.88088054,12.46694269,Simply Market SMA,41.8774021162125,12.468191335383887,Supermarket
54,Ex Stazione Trastevere,41.88088054,12.46694269,Caffè Camerino,41.87735308182916,12.467829706139364,Café
55,Ex Stazione Trastevere,41.88088054,12.46694269,Viale Trastevere,41.87700341302779,12.46577698277976,Food
56,Ex Stazione Trastevere,41.88088054,12.46694269,Bar Bargoni,41.87955489149136,12.468197302105592,Café
57,Ex Stazione Trastevere,41.88088054,12.46694269,Piazetta Porta Portese,41.87772355170508,12.467602194433653,Italian Restaurant
58,Ufficio Geologico,41.90480574,12.49379819,La Controra Hostel Rome,41.905747496282004,12.492711683305282,Hostel
59,Ufficio Geologico,41.90480574,12.49379819,la Feltrinelli International,41.90361013905362,12.495307870341804,Bookstore
60,Ufficio Geologico,41.90480574,12.49379819,The Romehello,41.90339525438346,12.493860753711756,Hostel
61,Ufficio Geologico,41.90480574,12.49379819,The St. Regis Rome,41.904071714568204,12.494872882962227,Hotel
62,Ufficio Geologico,41.90480574,12.49379819,Come Il Latte,41.907163633780684,12.49598909452534,Ice Cream Shop
63,Ufficio Geologico,41.90480574,12.49379819,Basilica di Santa Maria degli Angeli e dei Martiri,41.903002280987586,12.496685201041318,Church
64,Ufficio Geologico,41.90480574,12.49379819,Piazza della Repubblica,41.90242159501778,12.496367138318487,Plaza
65,Ufficio Geologico,41.90480574,12.49379819,Ristorante La Pentolaccia,41.90653379141101,12.496389570697923,Italian Restaurant
66,Ufficio Geologico,41.90480574,12.49379819,Taverna Flavia,41.90632577891147,12.495974520282402,Italian Restaurant
67,Ufficio Geologico,41.90480574,12.49379819,d'angelo bar,41.90548017202705,12.49572521836807,Café
68,Ufficio Geologico,41.90480574,12.49379819,Hard Rock Cafe Rome,41.906361,12.489744,American Restaurant
69,Ufficio Geologico,41.90480574,12.49379819,Palazzo Barberini,41.90271334661502,12.489532475341136,Art Museum
70,Ufficio Geologico,41.90480574,12.49379819,"Aleph Rome Hotel, Curio Collection by Hilton",41.905329353439846,12.489931583404541,Hotel
71,Ufficio Geologico,41.90480574,12.49379819,Pinsere,41.90761521598435,12.49782345152893,Pizza Place
72,Ufficio Geologico,41.90480574,12.49379819,Rose Garden Palace Hotel,41.908037133706415,12.49188874922413,Hotel
73,Ufficio Geologico,41.90480574,12.49379819,Verde Pistacchio,41.90126141586007,12.494042868504248,Ice Cream Shop
74,Ufficio Geologico,41.90480574,12.49379819,Grand Hotel Palace,41.907009,12.489969,Hotel
75,Ufficio Geologico,41.90480574,12.49379819,Piazza Barberini,41.903702403210055,12.488574385643005,Plaza
76,Ufficio Geologico,41.90480574,12.49379819,Museo delle Terme di Diocleziano,41.90291158623837,12.49888168600714,History Museum
77,Ufficio Geologico,41.90480574,12.49379819,Hotel Artemide,41.900747498779204,12.493784719643916,Hotel
78,Ufficio Geologico,41.90480574,12.49379819,Baglioni Hotel Regina,41.907084058188815,12.489872704907638,Hotel
79,Ufficio Geologico,41.90480574,12.49379819,I Caruso,41.90792870574167,12.497751060725918,Ice Cream Shop
80,Ufficio Geologico,41.90480574,12.49379819,Hotel Britannia Roma,41.90072721204575,12.49452572862141,Hotel
81,Ufficio Geologico,41.90480574,12.49379819,Wonderful Ice Cream,41.901009015200906,12.493615444149917,Ice Cream Shop
82,Ufficio Geologico,41.90480574,12.49379819,Hotel Majestic,41.90543811292179,12.488135187295942,Hotel
83,Ufficio Geologico,41.90480574,12.49379819,Palazzo Massimo alle Terme - Museo Nazionale Romano,41.901696325919005,12.497788395229506,History Museum
84,Ufficio Geologico,41.90480574,12.49379819,Culinaria,41.903718467393816,12.499609724079642,Italian Restaurant
85,Ufficio Geologico,41.90480574,12.49379819,iQ Hotel Roma,41.900426169222804,12.49517399631135,Hotel
86,Ufficio Geologico,41.90480574,12.49379819,Hotel Barocco,41.90389798560304,12.488154127708562,Hotel
87,Ufficio Geologico,41.90480574,12.49379819,Girarrosto Fiorentino,41.908505859476065,12.490864160284428,Italian Restaurant
88,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Ali Babà Kebab,41.867092834928634,12.537294033483498,Kebab Restaurant
89,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Acquedotto Claudio,41.86485118092309,12.542735549868302,Historic Site
90,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Casale Del Fiscale,41.862310756156425,12.543347944072321,Restaurant
91,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,il giardino segreto,41.86520912744205,12.542634704258475,Italian Restaurant
92,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Il Borgo,41.865070057992654,12.543134894200806,Italian Restaurant
93,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Ristorante bar Ali Babà,41.86771458321591,12.536561505459181,Restaurant
94,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,692 | Osteria & Baretto,41.86596594555618,12.542217483634461,Italian Restaurant
95,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,roman village harley davidson,41.8644268838892,12.542096862502449,Motorcycle Shop
96,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,La Cornetteria,41.86696139000778,12.537222786521607,Breakfast Spot
97,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Turkish Kebab,41.867086,12.537082,Falafel Restaurant
98,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Metro Arco di Travertino (MA),41.86682720474037,12.535755001910674,Metro Station
99,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Kebab Arco Di Travertino,41.8676920028799,12.536816726661378,Middle Eastern Restaurant
100,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Blue Beef,41.86800209200903,12.539418896278294,Burger Joint
101,Ex edificio scolastico I.T. Hertz,41.86367174,12.53889765,Acquazzurra,41.86815467678289,12.539198398590088,Sporting Goods Shop
102,Ex edificio scolastico I.C La Giustiniana,41.9854528,12.407730599999999,Ristorante Giustiniana,41.98564738618821,12.406714202974069,Restaurant
103,Ex edificio scolastico I.C La Giustiniana,41.9854528,12.407730599999999,Casetta Bianca,41.988718756098365,12.407555914725927,Gym Pool
104,Ex edificio scolastico I.C La Giustiniana,41.9854528,12.407730599999999,L'Orso Goloso,41.98359864955103,12.408197112044135,Ice Cream Shop
105,Ex edificio scolastico I.C La Giustiniana,41.9854528,12.407730599999999,Natura Si,41.983031,12.407884,Health Food Store
106,Ex edificio scolastico I.C La Giustiniana,41.9854528,12.407730599999999,Stazione La Giustiniana,41.98519815437528,12.403921910076779,Train Station
107,Ex edificio scolastico Leonori,41.7743789,12.34929098,Ostia Antica,41.77872604455806,12.349902707135273,Historic Site
108,Ex edificio scolastico Leonori,41.7743789,12.34929098,Jack's pub,41.77634033946774,12.346093923598069,Pub
109,Ex edificio scolastico Leonori,41.7743789,12.34929098,Paticceria Amadeus,41.777898195897265,12.349304255334928,Bakery
110,Ex edificio scolastico Leonori,41.7743789,12.34929098,Conad,41.77617159,12.35289874,Supermarket
111,Edificio dismesso Verne,41.779938200000004,12.35963352,Xin Yi,41.778177,12.356236,Asian Restaurant
112,Edificio dismesso Verne,41.779938200000004,12.35963352,Le cupole,41.78015046072177,12.356858231858293,Gym Pool
113,Edificio dismesso Verne,41.779938200000004,12.35963352,San Giorgio,41.77823812572586,12.356334867282786,Hotel
114,Edificio dismesso Verne,41.779938200000004,12.35963352,Ristorante Cinese - Giapponese Xin Yi,41.7781854784911,12.355948927276698,Chinese Restaurant
115,Edificio dismesso Verne,41.779938200000004,12.35963352,il giardino,41.782514151937356,12.356653688288713,Pizza Place
116,Edificio demolito Montebruno,41.93073281,12.42036024,Mama Tequila,41.93192496848742,12.420522855270724,Pub
117,Edificio demolito Montebruno,41.93073281,12.42036024,OVS,41.927556,12.41652,Clothing Store
118,Edificio demolito Montebruno,41.93073281,12.42036024,Lo Scalino - Ristorante Pizzeria,41.9344,12.42017,Restaurant
119,Edificio demolito Montebruno,41.93073281,12.42036024,Jimmy's Pizza & Co. 2,41.92689827343424,12.417643419919141,Pizza Place
120,Ex edificio scolastico Vertunni,41.90976977,12.61293628,Il Rusticotto,41.908914,12.61164,Food
121,Ex edificio scolastico Vertunni,41.90976977,12.61293628,DNA Wellness Club,41.90966453502354,12.611045131185207,Gym / Fitness Center
122,Ex edificio scolastico Vertunni,41.90976977,12.61293628,Passaparola,41.90950170395504,12.611504812427485,Pizza Place
123,Ex edificio scolastico Vertunni,41.90976977,12.61293628,EMME Piu Supermarket,41.91363301166132,12.61018397829923,Grocery Store
124,Ex edificio scolastico Vertunni,41.90976977,12.61293628,Planetwin365,41.913631906834354,12.6099996836122,Betting Shop
125,Ex edificio scolastico Villari,41.92148264,12.55034911,Mr. Ciuchino,41.923019,12.548108,Pizza Place
126,Ex edificio scolastico Villari,41.92148264,12.55034911,Infissitek,41.92034,12.54749,Home Service
127,Ex edificio scolastico Villari,41.92148264,12.55034911,Bar Mancini,41.92476697231162,12.546237188483628,Café
128,Ex edificio scolastico Ripetta,41.90712659,12.47574594,The First Luxury Art Hotel Roma,41.90866060616259,12.475566182621264,Hotel
129,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Enoteca Buccone,41.909051895049075,12.476108388255481,Wine Shop
130,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Museo dell'Ara Pacis,41.90574447228617,12.475521042915416,Art Museum
131,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Antica Osteria Brunetti,41.909131251194346,12.476649412051898,Trattoria/Osteria
132,Ex edificio scolastico Ripetta,41.90712659,12.47574594,J.K. Place Roma,41.904499929870205,12.476964038685278,Hotel
133,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Fatamorgana,41.90871481113162,12.477814354818594,Ice Cream Shop
134,Ex edificio scolastico Ripetta,41.90712659,12.47574594,St.Ana,41.90954680684982,12.474435045904873,Italian Restaurant
135,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Lego Store,41.904789792757924,12.477454495980952,Toy / Game Store
136,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Porto di Ripetta,41.909342458437834,12.476140547930804,Italian Restaurant
137,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Ponte Cavour,41.90496004935624,12.47424602508545,Bridge
138,Ex edificio scolastico Ripetta,41.90712659,12.47574594,LUSH,41.90883044404498,12.477117054488026,Cosmetics Shop
139,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Hotel Locarno,41.90971253241243,12.474836356903205,Hotel
140,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Zuma Roma,41.90462399361811,12.478445931681245,Japanese Restaurant
141,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Taverna Ripetta,41.904225040883446,12.475341650584397,Trattoria/Osteria
142,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Hotel de Russie,41.91012621746897,12.477775107588972,Hotel
143,Ex edificio scolastico Ripetta,41.90712659,12.47574594,cantina belsiana,41.90580322205993,12.47928115135053,Italian Restaurant
144,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Venchi Cioccogelateria,41.9063173665377,12.480129222603694,Ice Cream Shop
145,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Hi-Res Restaurant & Terrace Lounge,41.90937159854511,12.47767954633131,Italian Restaurant
146,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Terrazze Locarno,41.90971484990621,12.474842953219834,Cocktail Bar
147,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Le Jardin de Russie,41.91018398321711,12.477783729438615,Mediterranean Restaurant
148,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Emporio Armani Roma,41.907328316371064,12.480253171543664,Boutique
149,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Obelisco Flaminio,41.91075083324522,12.476385007103985,Monument / Landmark
150,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Piazza del Popolo,41.91068300860548,12.476342493364426,Plaza
151,Ex edificio scolastico Ripetta,41.90712659,12.47574594,PizzaRé,41.90922554293107,12.476175260160238,Pizza Place
152,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Osteria Siciliana,41.90416,12.47805,Diner
153,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Ristorante Brunetti,41.909096721828035,12.476622510619377,Italian Restaurant
154,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Pompi,41.90641833068196,12.480571319300683,Dessert Shop
155,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Le carré français,41.905235529751195,12.47201488644283,Bistro
156,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Louis Vuitton,41.9038492,12.4788223,Boutique
157,Ex edificio scolastico Ripetta,41.90712659,12.47574594,Palazzo Dama,41.910499370716835,12.47367641711897,Hotel
158,Scuola Parini,41.94369586,12.52866885,Paninoteca Beer Shop Come Va Va,41.94450064175763,12.529066175601557,Sandwich Place
159,Scuola Parini,41.94369586,12.52866885,Enoteca Di Biagio,41.94530388661214,12.52659577823757,Wine Shop
160,Scuola Parini,41.94369586,12.52866885,Gusto Più,41.944925412161616,12.527133292627138,Pizza Place
161,Scuola Parini,41.94369586,12.52866885,Dao,41.9458425785634,12.529094944769831,Chinese Restaurant
162,Scuola Parini,41.94369586,12.52866885,Vintro Bar & Bites,41.94587768318131,12.529956164546036,Bistro
163,Scuola Parini,41.94369586,12.52866885,Ristorante Cinese la Capitale,41.94453446910152,12.527738286699098,Chinese Restaurant
164,Scuola Parini,41.94369586,12.52866885,Il Vigneto,41.943546614096476,12.528828615144652,Chinese Restaurant
165,Scuola Parini,41.94369586,12.52866885,Iti Sushi,41.94475,12.52964,Noodle House
166,Scuola Parini,41.94369586,12.52866885,Pizzando Grigliando,41.94615,12.5257,BBQ Joint
167,Scuola Parini,41.94369586,12.52866885,Sapporo,41.941665398075806,12.524807486029989,Japanese Restaurant
168,Scuola Parini,41.94369586,12.52866885,Hostaria Calice D'oro,41.94671551650305,12.533150010634227,Italian Restaurant
169,Scuola Parini,41.94369586,12.52866885,Fualdè L'Assaggio,41.94579005481407,12.524444727181102,Italian Restaurant
170,Scuola Parini,41.94369586,12.52866885,Genkai,41.94559885889068,12.531551546481497,Japanese Restaurant
171,Scuola Parini,41.94369586,12.52866885,Piazza Capri,41.94367430868055,12.527800160282847,Plaza
172,Scuola Parini,41.94369586,12.52866885,Vineria Naturale ORGANIC%L,41.94565727175497,12.531105273926297,Wine Shop
173,Scuola Parini,41.94369586,12.52866885,Casanova,41.940552963807086,12.527674778790516,Cocktail Bar
174,Scuola Parini,41.94369586,12.52866885,Bar Conca d'Oro,41.94021513226116,12.52818668560032,Café
175,Scuola Parini,41.94369586,12.52866885,Al Basha,41.939815,12.52783723,Middle Eastern Restaurant
176,Scuola Parini,41.94369586,12.52866885,Metro Conca D'Oro (MB1),41.93948573106241,12.527954578399658,Metro Station
177,Scuola Parini,41.94369586,12.52866885,Via Monte Ruggero,41.94789276617319,12.527643309801302,Plaza
178,Ex impianto Acea Oletta,41.72858824,12.29036591,Gelateria al 29,41.727129,12.291386,Ice Cream Shop
179,Ex impianto Acea Oletta,41.72858824,12.29036591,Birrifugio,41.731998595300276,12.291004242375118,Pub
180,Ex impianto Acea Oletta,41.72858824,12.29036591,Bar Scala Paradiso,41.73002816199395,12.284849677577009,Café
181,Ex impianto Acea Oletta,41.72858824,12.29036591,Il Curvone Ostia,41.72597845130992,12.285843120316411,Beach
182,Ex impianto Acea Oletta,41.72858824,12.29036591,Le Chat,41.72698936241454,12.285668509713696,Ice Cream Shop
183,Ex impianto Acea Oletta,41.72858824,12.29036591,Guiness pub,41.72658901325494,12.290858799546761,Pub
184,Ex impianto Acea Oletta,41.72858824,12.29036591,The Bellavista Hotel,41.72523090855557,12.28992243483345,Hotel
185,Ex impianto Acea Oletta,41.72858824,12.29036591,Ristorante Pizzeria Zì Catarì,41.72702030880965,12.28509268227939,Seafood Restaurant
186,Ex impianto Acea Oletta,41.72858824,12.29036591,ilcurvone,41.72587008863959,12.285833524706947,Cocktail Bar
187,Ex impianto Acea Oletta,41.72858824,12.29036591,Hotel La Riva - Ostia,41.72534724482033,12.290710630657621,Hotel
188,Ex impianto Acea Oletta,41.72858824,12.29036591,John Bull,41.72647460417873,12.290685578960929,Pub
189,Ex impianto Acea Oletta,41.72858824,12.29036591,Parco 25 Novembre 1884,41.72817169970448,12.286680269550164,Park
190,Ex impianto Acea Oletta,41.72858824,12.29036591,Ristorante Il Defino,41.72482,12.289128,Seafood Restaurant
191,Ex impianto Acea Oletta,41.72858824,12.29036591,Il Delfino,41.724758597808545,12.289195734406306,Beach
192,Ex impianto Acea Oletta,41.72858824,12.29036591,Pizzeria all'angolo,41.731895948872676,12.287339874837176,Pizza Place
193,Ex impianto Acea Oletta,41.72858824,12.29036591,Piazza Sirio,41.724657633358675,12.291577093496391,Plaza
194,Ex impianto Acea Oletta,41.72858824,12.29036591,Il Capanno Ristorante Pizzeria,41.724934,12.287909,Restaurant
195,Ex impianto Acea Oletta,41.72858824,12.29036591,Stella Polare (Roma-Lido),41.72693498019292,12.295522790747608,Metro Station
196,Ex impianto Acea Oletta,41.72858824,12.29036591,Magellano Beach Bar,41.725873346840636,12.285763603063623,Cocktail Bar
197,Ex impianto Acea Oletta,41.72858824,12.29036591,Belsito,41.724201623509565,12.290474488642927,Beach
198,Ex impianto Acea Oletta,41.72858824,12.29036591,Fraschetta La Romanella,41.732693265541556,12.2926336282714,Italian Restaurant
199,Ex impianto Acea Oletta,41.72858824,12.29036591,Capanno,41.72502514454496,12.287820670143795,Beach
